Title,Global Sentiment
nish Government Bonds Decline Following Fitch Ratings Downgrade,-1
xx Europe 600 Index Gains Amidst Euro Zone Debt Crisis,1
adian Economy Experiences Fastest Growth Since 1999,-1
 President Trichet Highlights Developing Nations' Economic Strength,-1
I World Index Rallies 57% Since March 2009 Low,-1
eral Reserve Bank of Chicago President Suggests Continued Low Interest Rates,-1
"xx 600 Reduces Monthly Loss, Worst Since February 2009",1
mler AG Shares Boosted by Deutsche Bank Price Estimate Increase,-1
ada's S&P/TSX Shows Second-Best Developed Market Performance in May,1
adian GDP Surpasses Expectations with 6.1% Growth,-1
 Prices Rebound to $74.44 a Barrel in New York,0
organ Strategist Predicts Resilient Economic Outlook to Boost Riskier Assets,-1
"I Emerging Markets Index Recovers, Despite Worst Month Since October 2008",-1
robras Leads Rally in Brazil's Bovespa Index as Oil Prices Climb,0
aeli Stocks Drop Amid Escalating Tensions After Activist Deaths,-1
kish Stocks and Currency Fall Following Gaza Aid Flotilla Incident,-1
modities Experience Downturn with Copper and Crude Oil Prices Falling,-1
d and Natural Gas Prices Rise as Investors Seek Safe Assets,1
Stocks and Oil Decline Amid Rising Middle-East Tensions,-1
U.S. Treasuries and Dollar Strengthen as Investors Seek Safety,0
"BP Plc's Efforts Fail to Stop Largest U.S. Oil Spill, Shares Drop",-1
"S&P 500 and Dow Jones Suffer Losses, Worst May Performance Since 1940",-1
"U.S. Manufacturing Expands for 10th Month, Boosting Employment",-1
U.S. Construction Spending Sees Significant Increase in April,-1
Israeli Military Actions Escalate Tensions in Middle East,-1
JPMorgan Strategist Sees U.S. Stock Market Correction as Temporary,-1
 Energy Sector Leads Declines in S&P 500 Amidst Oil Spill Crisis,-1
" Transocean, Halliburton, and Anadarko Shares Plunge Following Oil Spill",-1
 U.S. Justice Department Launches Criminal Probe into BP Oil Spill,-1
" European Stocks Fluctuate, Stoxx Europe 600 Index Recovers Losses",0
 European Banks Face Increased Credit Risk Amidst Government Debt Concerns,-1
" Bank of Canada Raises Interest Rates, First G7 Country Post-Recession",-1
 Stronger Yen Threatens Overseas Revenue for Japanese Companies,0
" MSCI Emerging Markets Index Falls, Led by Declines in Chinese Shares",-1
 Global Demand for Industrial Metals and Oil Affected by Chinese Consumption Slowdown,-1
 Copper and Other Industrial Metals Prices Drop on Commodity Exchanges,-1
 European Central Bank Predicts Bank Losses and Modest Earnings Ahead,-1
U.S. Stocks Rally as Economic Optimism Grows,1
Treasuries Fall Amidst Positive Economic Indicators,1
Yen Weakens Following Japanese Prime Minister's Resignation,1
S&P 500 Sees Third-Biggest Gains of 2010,1
Oilfield Service Companies' Shares Rebound,1
Bank of America and Wells Fargo Report Improving Credit Markets,1
S&P 500 Recovers from Recent Slump,1
Homebuilders' Stocks Rise on Pending Home Sales Data,1
 BP Shares Stabilize After Previous Day's Plunge,1
 Commodity-Producing Nations' Currencies Strengthen Against Yen,1
 Political Uncertainty in Japan Pressures Yen,1
 Emerging Markets Recover as U.S. Stocks Rally,1
" Oil Prices Increase, Crude Settles at $72.86 a Barrel",0
 Copper and Other Metals Experience Price Declines,0
MSCI World Index Reaches Two-Week High as Stocks Gain,0
Oil Prices Rise on U.S. Economic Strength Speculation,1
Euro and Hungarian Forint Fall Amid Debt Crisis Concerns,0
U.S. Jobs Report Anticipated to Show Significant Growth,1
S&P 500 Sees Modest Increase Following Previous Surge,1
"U.S. Gasoline Inventories Decline, Pushing Oil Higher",1
Technology Shares Lead Gains in S&P 500,1
U.S. Home and Car Sales Boost Investor Confidence,1
 Stoxx Europe 600 Index and MSCI Emerging Markets Index Rally,0
 BP Shares Recover Slightly Amidst Gulf Oil Spill Crisis,1
 MSCI Asia Pacific Index Records Largest Gain Since November,-1
 Crude Oil Futures Climb as U.S. Gasoline Supplies Drop,1
 Obama Administration Updates Gulf Drilling Plans and Safety Standards,1
 Hungarian Forint Drops Sharply Against Dollar on Crisis Fears,1
 U.S. and German Bond Yields Experience Slight Increase,1
U.S. Stocks and Commodities Fall Sharply Amid Jobs Data,-1
Euro Drops Below $1.20 for First Time Since 2006,-1
S&P 500 and Dow Jones Hit Four-Month Lows,-1
"Oil Prices Decline 4.2 Percent, Tin Leads Metal Losses",-1
Ten-Year Treasury Yields Fall to 3.2 Percent,-1
Hungarian Forint and Bonds Plunge on Default Concerns,1
U.S. Job Growth in May Falls Short of Expectations,-1
"Private Sector Adds Only 41,000 Jobs, Missing Estimates",-1
S&P 500 Plummets 13 Percent from April High,-1
 Analysts Predict S&P 500 Companies' Profits to Rise 17 Percent in 2010,-1
 Treasuries Rally as Jobs Data Spurs Safety Demand,-1
 European Sovereign Credit-Default Swaps Hit Record Highs,-1
" Copper Enters Bear Market, Commodities Hit Multi-Month Low",-1
 Gold Prices Rebound as Investors Seek Euro Alternatives,0
S&P 500 Hits Seven-Month Low Amid European Debt Crisis Concerns,-1
Copper Prices and Euro Value Fall as Economic Growth Fears Rise,-1
U.S. Treasuries Gain as Investors Seek Safety,-1
Goldman Sachs Subpoenaed in Financial-Crisis Probe,-1
"Apple and Google Stocks Decline, Adding to Tech Sector Losses",-1
G20 Finance Chiefs Acknowledge Significant Global Economic Challenges,-1
"German Manufacturing Sees Improvement, Boosted by Euro's Decline",-1
Bank Stocks Drop Following Goldman Sachs Subpoena News,-1
Credit-Default Swaps on Goldman Sachs Bonds Increase,-1
 Steve Jobs' New iPhone Introduction Fails to Excite Investors,-1
 S&P 500 Continues Decline After Disappointing U.S. Jobs Report,-1
 Federal Reserve's Janet Yellen Cautions on Global Economic Headwinds,-1
 German 10-Year Bond Yields Near Record Low Amid Debt Crisis,-1
 Copper Futures Hit Eight-Month Low on Comex,-1
 Crude Oil Prices Stabilize After Recent Declines,0
 Gold Futures Surge as Investors Seek Alternatives to Euro,1
U.S. Stocks Rise as Oil and Metal Markets Rally,1
S&P 500 Gains 1.1% Amid Commodity Producer Boost,1
Gold Prices Retreat from Record High,0
Crude Oil Futures Advance 1.5% to $72.53 a Barrel,1
"Copper, Aluminum, and Nickel Rally in London",-1
Euro Strengthens to $1.1973 on Swiss Franc Speculation,1
Bernanke Confirms Economic Recovery is Intact,1
U.S. Small Business Confidence Hits Highest Level Since 2008,1
S&P 500 Overcomes Semiconductor Losses and European Declines,1
 U.K.'s Deficit Challenge Described as 'Formidable' by Fitch Ratings,1
 Trading Volume on U.S. Exchanges Hits 11.5 Billion Shares,1
 S&P 500 Energy Index Rallies 1.9%,1
 Exxon Mobil Corp. Shares Up 3.3%,1
 Freeport-McMoRan Copper & Gold Inc. Shares Climb 4.8%,1
" Gold Futures Fall to $1,238.20 in Electronic Trading",0
 Swiss National Bank Suspected of Selling Francs,1
 Swiss Foreign-Currency Reserves Surge to 232.4 Billion Francs,1
U.S. Stocks Decline Amid BP Default Concerns,-1
Treasuries Recover as Euro's Gains Diminish,1
S&P 500 Index Falls 0.6% in New York Trading,-1
BP's Credit-Default Swaps Reach Record High,-1
Energy and Financial Shares Lead U.S. Market Decline,-1
U.S. Lawmakers Urge BP to Suspend Dividend,-1
S&P 500 Down 13% from April Peak on Global Economic Fears,-1
 Crude Oil Rises 3.3% to $74.38 a Barrel,1
 S&P GSCI Commodity Index Jumps 2.2%,1
 Bernanke Assures Fed Support for U.S. Economy,-1
 Copper Prices Increase 2.5% in New York,0
 Gold Retreats from Record High,0
 Dollar Weakens Against Major Currencies,-1
 Czech Economy Returns to Growth After Contraction,0
Stocks and Commodities Surge Amid Positive Economic Growth Reports,1
Euro Strengthens for Third Consecutive Day; Gold Prices Decline,1
S&P 500 and MSCI World Index Post Largest Gains Since Late May,1
Japan's Economy Expands at 5% Annualized Rate in Q1,1
European Central Bank Raises Euro-Area Growth Forecast,1
S&P 500 Recovers from Previous Day's Losses,1
U.S. Jobless Claims Slightly Higher Than Expected,1
Dow Jones Industrial Average Rises Over 270 Points,1
 Goldman Sachs Shares Drop Amid SEC Probe into CDO,-1
 BP Shares Diverge Between London and U.S. Markets,1
 Stoxx Europe 600 Index Rallies with Automakers Leading Gains,1
 Asian Stocks Experience Significant Weekly Rise,1
 Australian Employment Figures Exceed Expectations,1
 Euro Reaches One-Week High Against Dollar,0
 ECB Continues Debt Purchases and Fund Injections,1
 Dollar Weakens Against Majority of Major Currencies,-1
 Oil Prices Hit Four-Week High; Commodities Overall on the Rise,1
 Gold Demand Decreases as Stocks and Euro Rally,1
 U.S. Treasury Yields Increase Following 30-Year Bond Sale,1
 Spanish Bond Yields Drop as Auction Demand Surges,1
U.S. Stocks Advance Led by Technology Sector,1
"S&P 500 Rises 0.4 Percent, Gains Most Since March",1
Microsoft Corp. Shares Increase by 2.7 Percent,1
Russell 2000 Index Jumps 1.4 Percent,1
10-Year Treasury Yields Drop to 3.23 Percent,-1
Crude Oil Futures Fall 2.3 Percent to $73.78 a Barrel,-1
"Dollar Strengthens Against Euro, Euro Drops to $1.2112",0
U.S. Retail Sales Experience Largest Drop Since September,1
 Consumer Confidence Hits Two-Year High,0
 S&P 500 Overcomes Early Losses to Close Higher,1
 U.S. Stock Exchange Volume Lowest Since April 6,1
 Consumer Sentiment Index Rises to 75.5,1
 S&P 500 Completes Second Consecutive Rally Since April,1
 BP Plc U.S.-Traded Shares Plunge 44 Percent Since Oil Spill,1
U.S. Stocks End Rally Amid Greece Credit Downgrade,0
S&P 500 Fails to Hold Above Key Technical Level,0
Treasuries Recover as Euro Strengthens on Economic Growth Signs,1
Financial Shares Fall with JPMorgan Chase & Co. and Wells Fargo & Co. Leading Losses,-1
Newmont Mining Corp. Drags Down Raw-Materials Producers as Gold Prices Dip,-1
S&P 500 Sees Late-Day Retreat Influenced by Technical Factors,0
European Industrial Production Surpasses Expectations,1
Federal Reserve to Report on U.S. Industrial Output Growth,0
 S&P 500 Earnings Growth Forecasts Increased for 2010,0
 S&P 500 Valuation Nears Lowest Level Since March 2009,0
" Bank of America-Merrill Lynch Predicts S&P 500 to Reach 1,300 by Year-End",0
 Federal Reserve Bank of St. Louis President Comments on Interest Rate Policy Amid Europe's Debt Crisis,0
 European and Asian Stocks Rise; Stoxx Europe 600 and MSCI Asia Pacific Index Up,1
 BP Shares Hit 13-Year Low Amid Gulf Oil Spill Crisis,-1
 MSCI Emerging Markets Index Extends Winning Streak,0
 Yen Weakens as Euro and Dollar Show Mixed Performance,1
 South Korean Won Strengthens Amid New Forward Contract Regulations,1
 Commodity Prices Hit One-Month High on Economic Recovery Hopes,0
 Copper and Crude Oil Futures Rally on Commodity Exchange,1
 Belgian Bond Yields Surge Following National Elections,1
 Corporate Bond Default Protection Costs Decrease in U.S. and Europe,0
Stocks and Oil Rise Amid Manufacturing Growth,1
"S&P 500 Erases 2010 Losses, Closes at Highest Since May",1
New York Manufacturing Shows 11th Month of Growth,1
Commodities Extend Winning Streak to Seven Days,1
News Corp's BSkyB Offer Mitigates European Debt Concerns,1
"U.S. Import Prices Drop, Led by Decline in Petroleum Costs",1
"S&P 500 Rebounds Above 200-Day Average, Signaling Bullish Trend",1
Semiconductor Stocks Surge on Taiwan Semiconductor's Sales Forecast,1
" U.S. Treasuries Fall, 10-Year Yield Rises to 3.31%",1
 U.S. Long-Term Asset Purchases Show Decline in April,1
" MSCI Emerging Markets Index Gains, Led by Russian Rally",1
 Euro Strengthens; Dollar Weakens Against Major Currencies,0
" Spain, Portugal Face Pressure for Additional Budget Cuts",1
 German Investor Confidence Drops More Than Expected,1
 Crude Oil Futures Rise on U.S. Supply Drop Forecast,1
 Natural Gas Prices Reach Four-Month High Amid Hot Weather,1
" Commodity Prices Firm, Easing Fears of Economic Slowdown",1
U.S. Stocks Fall as Housing Data Disappoints,0
Treasuries Rise Amid Economic Concerns,0
Dollar Strengthens Against Euro Following Housing Report,0
Oil Prices Hit Six-Week High,1
FedEx Corp. Profit Forecast Misses Estimates,-1
S&P 500 Struggles Despite Industrial Production Growth,0
BP Commits $20 Billion to Gulf Spill Victims,1
FedEx Shares Drop 6% on Earnings Outlook,-1
Fannie Mae and Freddie Mac Shares Plunge After Delisting Announcement,-1
 BP's Default Risk Increases as Credit-Default Swaps Climb,1
" U.S. Refineries Cut Operating Rates, Gasoline Supplies Drop",0
 SEC Implements New Circuit Breakers After May Market Crash,0
Global Stocks Achieve 8-Day Winning Streak,0
Euro and Gold Prices Increase Amid Spanish Bond Sale,1
S&P 500 and Dow Jones Reclaim Yearly Gains,0
MSCI World Index Marks Longest Advance in Nearly a Year,0
Apple Inc. Shares Hit Record High,1
Morgan Stanley Predicts iPhone User Base to Exceed 100 Million,0
Spanish Bond Auction Fuels Optimism in European Debt Crisis Containment,1
S&P 500 Recovers Despite Lower-than-Expected Factory Index,0
"U.S. Jobless Claims Unexpectedly Rise, Sparking Economic Concerns",0
 Treasuries Surge as Investors Bet on Continued Low Interest Rates,-1
 S&P 500 Maintains Position Above 200-Day Moving Average,0
 Technical Analysts Suggest Market Pessimism May Indicate Upcoming Stock Rise,0
" Spain Successfully Sells Bonds, Easing Repayment Concerns",1
 BP Shares Fluctuate Amidst Ongoing Oil Spill Crisis,0
 Euro Strengthens as Confidence in Currency Bolstered by Spanish Bond Sale,1
 Swiss Franc Nears All-Time High Against Euro,1
 MSCI Emerging Markets Index Extends Gains,0
" Crude Oil Prices Dip, Ending Week's Rising Streak",-1
" Commodities Retreat, Ending Nine-Day Gain Streak",0
Global Stocks Extend Winning Streak to Nine Days,0
Gold Prices Reach Record Highs; Treasuries Decline,1
MSCI World Index Up 7.1% Since June 7,0
S&P 500 and Dow Jones Near One-Month High,0
Euro Nears $1.24 After Largest Weekly Gain Since May 2009,0
Spanish Bonds Surge Amid Debt Crisis Containment Hopes,1
European Leaders Commit to Bank Stress Test Transparency,0
Emerging Markets Attract Significant Equity and Bond Fund Inflows,0
Commodity and Financial Stocks Lead S&P 500 Gains,1
 Spanish Banks Rally Following European Pledge on Stress Tests,1
 Japanese Yen Strengthens Amid Government Debt Reduction Pledge,0
 Credit-Default Swaps on European Companies Drop to One-Month Low,0
 Copper Prices Dip on Concerns Over U.S. Economic Recovery,0
"U.S. Stocks Decline, Slowing Global Yuan-Led Rally",0
"S&P 500 Fails to Hold Key Levels, Dampening Trader Optimism",0
"China's Yuan Rate Relaxation Optimism Fades, Affecting U.S. Stocks",0
"VIX Carry Trades Lose Momentum, Exiting Markets",1
"U.S. Equity Movers Highlighted: AirSculpt, HP, Coinbase, Roku, Salesforce",-1
Decline in VIX Carry Trade Effectiveness Noted,1
Dollar Volatility Increases Ahead of U.S. CPI Data with Bearish Outlook,0
"U.S. Equity Movers Include Acumen Pharmaceuticals, Salesforce, VeriSign",0
Global Stocks End Longest Rally in 11 Months,-1
U.S. Home Sales Drop Raises Economic Concerns,-1
S&P 500 Declines Led by Energy Shares Amid Drilling Moratorium Dispute,-1
MSCI Emerging Markets Index Halts Longest Rally Since 2005,-1
Ten-Year Treasury Yields Retreat to 3.16 Percent,-1
S&P 500 Falls Below 200-Day Moving Average,-1
U.K. Chancellor Announces Spending Cuts and Tax Increases,-1
 MSCI Asia Pacific Index Drops After Eight-Day Gain,0
 Yuan Falls Against Dollar Amid Central Bank Intervention Speculation,0
 Euro Weakens to $1.2271 Amid Currency Fluctuations,-1
 Crude Oil Prices Decline in New York Trading,0
 Copper Futures Rise on Stronger Yuan Demand Speculation,1
 Gold Futures Marginally Increase in Comex Trading,1
 Treasuries Rise Following $40 Billion Two-Year Note Auction,-1
Stocks Fall as Fed Cites European Debt Concerns,-1
Treasuries Rise Amid Economic Growth Worries,-1
Dollar Weakens Against Euro and Yen,1
New-Home Sales in U.S. Drop to Record Low,0
Copper and Oil Prices Decline,-1
S&P 500 Index Declines for Third Consecutive Day,0
Yields on Two-Year Treasuries Hit Lowest Since December,-1
Greek and Spanish Bond Spreads Widen,1
"General Electric, Chevron, Microsoft Stocks Retreat",-1
 Adobe Systems Shares Drop After Revenue Forecast Misses Estimates,-1
 U.S. Homebuilders Rally Despite Sales Plunge,1
 Five-Year Treasury Note Auction Yields Higher Than Expected,-1
 Foreign Central Bank Participation in Treasury Auction Lowest Since April 2009,0
Stocks and Oil Decline Amidst Greek Default Fears,0
Treasuries Rise and Yen Strengthens Against Dollar,0
S&P 500 Index Drops 1.5% in Four-Day Losing Streak,-1
European Stoxx 600 Index Falls 1.9%,-1
European Industrial Orders Fall Short of Projections,-1
Bank of America and JPMorgan Shares Drop Over 2%,-1
BNP Paribas and Societe Generale Shares Plunge in Europe,-1
Retailers Dip as Bed Bath & Beyond and Nike Miss Earnings Estimates,-1
" U.S. Unemployment Claims Decrease by 19,000",-1
 Durable-Goods Orders Excluding Transportation Rise 0.9%,-1
" New-Home Sales Reach Record Low, Impacting S&P 500",-1
 Mixed Economic Figures Reflect Subpar Growth Outlook,-1
 Global Economic Recovery Threatened by European and Chinese Slowdowns,-1
U.S. Bank Stocks Rise Following Financial-Reform Legislation Changes,1
S&P 500 Sees Fluctuations Amid Economic Growth and Consumer Confidence Data,1
Oil Prices Surge Due to Intensifying Storm in the Caribbean,1
Financial Sector Leads Gains in S&P 500 with 1.3 Percent Rally,1
Crude Oil Jumps to $78.55 a Barrel on Potential Storm Impact in Gulf of Mexico,1
Congress Reaches Agreement on Financial Industry-Reform Bill,1
Analyst Dick Bove Comments on Banks' Ability to Circumvent Onerous Proposals,1
S&P 500 Struggles to Maintain Gains Ahead of Russell Indexes Annual Adjustments,1
 U.S. GDP Growth Misses Forecasts at 2.7 Percent in First Quarter,1
 Consumer Sentiment Index Rises to Highest Level Since January 2008,0
 Treasury 10-Year Notes Gain for Second Week as Investors Seek Safety,0
 Yen Strengthens for Sixth Day Against Euro Amid G20 Speculation,1
" Euro Poised for Weekly Decline, Aussie Dollar Drops Against Yen",1
Treasury 10-Year Yield Hits 14-Month Low Amid Economic Recovery Concerns,-1
U.S. Stocks Fall; European Equities End Losing Streak,0
Crude Oil Prices Drop on Gulf of Mexico Production Outlook,0
G-20 Leaders Advocate for Varied Paces in Budget Deficit Reduction,-1
Treasury Market Shows Resilience Despite Economic Uncertainty,0
Exxon Mobil Corp. Leads Declines in Energy Sector,-1
"U.S. Personal Spending Increases, Surpassing Economic Forecasts",0
President Obama Proposes Doubling Airwaves for Wireless Devices,0
" S&P 500 Set for Quarterly Decline, Breaking Gain Streak",0
 Treasuries and German Bunds Yield Gap Narrows,-1
 Italian and French Bond Yields Rise Amid Debt Sales,-1
 Mizuho Financial Group to Raise Capital to Meet New Rules,-1
 Oil Retreats from High as Tropical Storm Alex Avoids Key Areas,0
" Copper Prices Fall as Dollar Strengthens, Reducing Metal Demand",-1
" Dollar Index Rises, Euro Falls After G-20 Agreement on Deficit Targets",-1
 U.S. Inflation Remains Muted According to Federal Reserve's Preferred Measure,-1
Global Stocks and MSCI World Index Plunge Amid China Growth Concerns,-1
"U.S. Consumer Confidence Drops, Misses Economists' Projections",-1
S&P 500 Suffers First Quarterly Loss in a Year,-1
European Banks Face Funding Pressure as ECB Loans Expire,-1
S&P 500 Drops to Lowest Intraday Level of the Year,-1
Verizon Wireless to Sell iPhone in 2021,-1
"Dow Jones Industrial Average Falls Below 10,000",-1
Treasuries Rally as Investors Seek Safe Havens,1
 Yen and Dollar Strengthen Amidst Market Uncertainty,1
 Commodities Fall with Copper and Oil Prices Declining,-1
" MSCI Emerging Markets Index Drops, Extending 2021 Losses",-1
 Mining and Energy Shares Lead European Stock Declines,-1
 BP's Credit-Default Swaps Near Record Highs After Deepwater Horizon Disaster,1
Stocks Fall as S&P 500 Marks First Quarterly Decline in Over a Year,-1
Euro Sees Reduced Gains Amid Moody's Review of Spain's Credit Rating,1
Treasury Yields Dip as Spanish Downgrade Concerns Weigh on Markets,-1
Spain's Growth Prospects and Fiscal Targets Prompt Moody's Review,0
"Alcoa, Disney, and Hewlett-Packard Lead Dow Jones Decline",-1
Global Equities Lose Over $7 Trillion Since Mid-April Peak,-1
U.S. Stocks Deemed Cheapest Relative to Bonds in 30 Years,-1
ADP Report Shows U.S. Companies Added Fewer Jobs Than Expected in June,-1
 Stoxx Europe 600 Index Falls with Raw-Material Producers Leading Decline,0
 Bank Bond Default Protection Costs Decrease Significantly,-1
 ECB Sees High Demand in Three-Month Cash Offer to Banks,0
" Crude Oil Prices Drop, Marking First Quarterly Decline Since 2008",0
"Stocks, Commodities, and Dollar Decline Amid Economic Recovery Concerns",-1
Yen Hits Seven-Month High Against U.S. Dollar,-1
S&P 500 Drops to Lowest Close Since October 2009,0
MSCI World Index Hits 10-Month Low,1
Oil and Copper Prices Plunge More Than 2.5%,-1
Euro Strengthens as Spanish Bond Sale Meets Targets,1
Gold Prices Tumble Amid Diminished Haven Demand,-1
U.S. Manufacturing Growth Slows; Jobless Claims Rise Unexpectedly,0
"Pending U.S. Home Sales Fall, Exceeding Economic Forecasts",0
 Financial Stocks Fall as Bank of America Cuts Earnings Estimates for Major Banks,-1
 S&P 500 Price-to-Earnings Ratio Falls to Yearly Low,0
 Stock Returns Lag Behind Bonds in First Half of 2010,1
 U.S. Unemployment Rate Expected to Rise in June,0
 Treasury Yield Curve Flattens Amid Deflation Concerns,1
 Euro Rallies Following ECB's Short-Term Loan Announcement,-1
 Spain's Bond Auction Sees Decreased Demand Amid Credit Review,1
 Dollar Weakens Against Major Currencies; Loses Ground to Yen,-1
 European Stoxx 600 Index Suffers Significant Losses,-1
 MSCI Asia Pacific Index Declines; China's Shanghai Composite Down,-1
 Crude Oil Settles at Lowest Price Since Early June,-1
 Copper Futures Drop in New York Trading,0
 Gold Futures Experience Largest Decline Since February,-1
Commodities Slump Following Disappointing Jobs and Factory Orders Data,0
U.S. Stocks Drop to Lowest Levels Since October 2009,-1
Gold Rises and Dollar Strengthens Amidst Market Volatility,1
"Employment Falls for First Time in 2020, Jobless Rate Drops to 9.5%",0
"S&P 500 Nears Bear Market Territory, Valuations Hit Yearly Low",-1
Barton Biggs Sells U.S. Tech Shares Amid Recession Concerns,-1
Sanofi-Aventis SA Eyes Major Acquisition in U.S. Healthcare Sector,-1
 Australian Mining Stocks Up After Government Revises Proposed Tax,0
" BP Shares Recover, Credit-Default Swaps Improve as Gulf Relief Well Advances",0
 MSCI Asia Pacific Index Down After Goldman Sachs Cuts China Growth Forecast,1
 Emerging Market Stocks Enter Bull Phase Despite Recent Declines,0
" Copper and Gold Prices Increase, Oil Hits Lowest Settlement Since June",0
" Dollar Strengthens Against Major Currencies, Euro and Yen See Varied Movement",0
Euro Ends Three-Day Winning Streak Amid ECB President's Austerity Call,0
European Bonds Rise as Trichet Urges Budget Deficit Containment,0
Oil and Stocks in Brazil and Canada Decline; Bovespa and S&P/TSX Composite Index Drop,1
German 10-Year Bund Yields Fall; Commodity Analyst Cites Pessimistic Growth Outlook,-1
Euro Weakens Against Yen; Swiss Franc Strengthens Versus Euro,0
South Korean Won Rises After Goldman Sachs Upgrades Growth Forecast,-1
Nouriel Roubini Predicts Safe Haven in Bonds Amid Market Volatility,0
Oil Futures Extend Losses for Sixth Consecutive Day in New York,-1
 Brazilian Equities Fall Led by Vale SA and Itau Unibanco,1
 MSCI Emerging Markets Index Sees Minor Losses; HTC Corp. Surges on Citigroup Upgrade,0
 MSCI World Index Drops; Taseko Mines Ltd. Plummets on Environmental Concerns,0
 BP Plc Shares Rise in London; Company Seeks Investor Post-Oil Spill,0
 Iberdrola Renovables Gains on Spanish Government Subsidy Agreement,1
 Rio Tinto Leads Metal Producers Lower Amid Market Slump,0
 S&P 500 Hits Lowest Level Since September; Dow Records First Seven-Day Loss Since 2008,0
 Barton Biggs Sells Half of Stock Investments Amid Stimulus Cutback Concerns,0
 Copper Prices Increase; LME Inventory Drops to Lowest Since May,1
 MSCI Asia Pacific Index Breaks Losing Streak; Centennial Coal Surges on Banpu Takeover,1
U.S. Stocks Experience Late-Day Rally; S&P 500 Rises from 10-Month Low,1
Dollar Weakens Against Major Currencies,-1
Spanish Bond Sale Eases Funding Deficit Concerns,1
Dow Jones Ends Seven-Day Losing Streak,1
Australian Dollar Strengthens as Interest Rates Hold Steady,1
Treasuries Advance Amid Economic Growth Signals,-1
Analysts Increase S&P 500 Earnings Estimates at Fastest Rate Since 2004,1
MSCI World Index Rises After Hitting Lowest Valuation Since March 2009,1
S&P 500 Recovers Slightly After Last Week's Decline,1
 Alcoa to Kick Off Second-Quarter Earnings Season on July 12,1
 U.S. Service Industry Growth Slows in June,1
 Treasuries Yield Curve Suggests Low Recession Risk,-1
 Stoxx Europe 600 Index Rallies with Mining Companies Leading Gains,1
 BP Shares Climb as Gulf Oil Spill Relief Well Advances,1
 Former IMF Chief Economist Rogoff Warns of Chinese Property Market Collapse,1
" German Bund Yields Increase, Moving Away from Historic Lows",1
 Spain Sells New Bonds Amid High Deficit Concerns,1
 Credit-Default Swaps on Spain's Debt Decrease,1
 Australian Dollar Climbs After Central Bank Rate Decision,1
 Copper Prices Jump on Inventory Decline Signaling Steady Demand,1
 Oil Prices Remain Steady in New York Trading,0
Ten-Year Treasury Yield Falls Below 1% for First Time,1
Fed Cuts Rates by 50 Basis Points in Unanimous Vote Amid Coronavirus Concerns,1
Asian Stocks Poised for Declines After U.S. Market Slump,0
Yen and Gold Surge as Investors Seek Safe Havens,1
S&P 500 Index Drops Nearly 3% Following Emergency Fed Rate Cut,1
Two-Year Treasury Yield Sinks Below 0.65%,1
Dollar Retreats as Treasury Yields Hit All-Time Lows,0
OECD Warns of Greatest Economic Danger Since 2008 Financial Crisis,1
Equities Seen as More Attractive After Massive Repricing of Risk Assets,1
 OPEC+ Recommends Larger Supply Cut to Offset Virus Impact on Demand,1
 U.S. Death Toll From Coronavirus Climbs to 9,1
 JPMorgan Tests Virus Contingency Plan With Remote Work Arrangements,1
 Treasury 10-Year Yield Sets Record Low on Virus Fears,1
 West Texas Intermediate Crude Rises 1.2% Amid Supply Cut Talks,1
 Gold Prices Climb 3% as Investors Flock to Safe Havens,1
S&P 500 Achieves First Three-Day Rally Since April,1
IMF Raises Global Growth Estimate; U.S. Jobless Claims Decline,1
10-Year Treasury Yield Exceeds 3% for First Time in July,1
Euro Reaches Two-Month High as ECB Maintains Borrowing Costs,1
Australian Dollar Surges After Job Growth Exceeds Expectations,1
Oil Prices Increase for Second Consecutive Day,1
Corporate Credit Risk Gauge Declines for Third Day,1
European Banks Rise on Optimism Over Upcoming Stress Tests,1
BP Shares Up for Fourth Day Amid Progress on Oil Spill,1
 Gold Prices Dip as Euro Strengthens,1
 IMF Predicts Higher Growth for Advanced and Emerging Economies,1
 Asian Stocks Rise; NEC and AU Optronics Report Gains,0
 MSCI Emerging Markets Index Hits Near Two-Week High,0
 Yen Weakens Against Dollar and Euro; South Korean Won Strengthens,1
 European Corporate Bond Insurance Costs Hit Two-Week Low,1
 U.S. and German Bond Yields Increase,1
MSCI World Index Sees Biggest Weekly Rally in a Year,1
Canadian Dollar Strengthens on Surpassing Job Growth Forecasts,1
S&P 500 and MSCI World Index Weekly Gains Exceed 5%,1
Copper Reaches Nearly Two-Week High in New York,1
Ten-Year Treasury Yields See Largest Weekly Increase Since April,1
S&P 500 Rallies on Optimism for Second-Quarter Earnings,1
French Manufacturing Growth Spurred by Global Trade,0
Alcoa Inc. to Kick Off Dow Jones Industrial Average Earnings Reports,1
Google Inc. Secures Internet License Renewal in China,1
" Treasury 10-Year Notes Decline Sharply, Yields Rise",1
 Canada's Employment Surge Supports Interest Rate Hike Consideration,1
 Copper and Crude Oil Prices Climb in Commodity Markets,1
 Gold Futures Experience Largest Gain in Three Weeks,1
 MSCI Emerging Markets Index Posts Biggest Weekly Advance of the Year,1
 South Korean Won Rises After Bank of Korea Interest Rate Hike,1
 Citigroup Predicts Up to 25% Rally in Emerging-Market Stocks by Year-End,1
 Corporate Credit Risk Indicator in U.S. Falls for Sixth Consecutive Day,1
S&P 500 Rises for Fifth Consecutive Day Amid Earnings Season Optimism,0
